OCCUPATION,EXPERIENCE,RATING
Student,2-5 years,4
Student,2-5 years,4
Student,2-5 years,3
Professional,11+ years,5
Professional,2-5 years,4
Professional,11+ years,2
Professional,11+ years,3
Student,2-5 years,4
Professional,2-5 years,4
Student,1-2 years,4
Student,1-2 years,4
Professional,2-5 years,5
Professional,1-2 years,4
Professional,11+ years,4
Professional,6-10 years,4
Professional,11+ years,4
Professional,1-2 years,5
Student,1-2 years,4
Professional,2-5 years,5
Researcher,2-5 years,3
Student,1-2 years,2
Professional,2-5 years,4
Student,6-10 years,4
Professional,1-2 years,3
Student,1-2 years,4
Student,2-5 years,4
Professional,6-10 years,4
Professional,11+ years,5
Student,6-10 years,4
Student,2-5 years,4
Researcher,6-10 years,4
Professional,< 1 year,4
Student,11+ years,3
Student,2-5 years,4
Student,2-5 years,4
Student,6-10 years,4
Researcher,11+ years,4
Professional,11+ years,4
Student,2-5 years,4
Student,1-2 years,3
Student,< 1 year,4
Researcher,6-10 years,4
Researcher,11+ years,5
Student,11+ years,3
Student,6-10 years,3
Student,2-5 years,2
Student,< 1 year,4
Student,6-10 years,4
Researcher,2-5 years,3
Student,1-2 years,4
Professional,11+ years,5
Professional,11+ years,4
Professional,11+ years,4
