METRIC,RATING
POPULARITY,4
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,2
POPULARITY,3
POPULARITY,3
POPULARITY,3
POPULARITY,3
POPULARITY,3
POPULARITY,5
POPULARITY,5
POPULARITY,3
POPULARITY,3
POPULARITY,4
POPULARITY,3
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,1
POPULARITY,4
POPULARITY,5
POPULARITY,3
POPULARITY,4
POPULARITY,4
POPULARITY,3
POPULARITY,3
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,4
POPULARITY,3
POPULARITY,4
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,5
POPULARITY,4
POPULARITY,5
POPULARITY,4
POPULARITY,5
POPULARITY,5
POPULARITY,3
POPULARITY,3
POPULARITY,4
POPULARITY,1
POPULARITY,4
POPULARITY,5
POPULARITY,5
POPULARITY,5
RF,4
RF,4
RF,4
RF,3
RF,5
RF,2
RF,5
RF,5
RF,2
RF,3
RF,4
RF,4
RF,3
RF,4
RF,3
RF,5
RF,4
RF,4
RF,3
RF,5
RF,3
RF,2
RF,2
RF,3
RF,4
RF,2
RF,5
RF,3
RF,4
RF,3
RF,4
RF,3
RF,4
RF,4
RF,3
RF,5
RF,3
RF,5
RF,4
RF,3
RF,4
RF,4
RF,2
RF,3
RF,5
RF,4
RF,2
RF,3
RF,5
RF,4
RF,4
RF,5
RF,4
LMD,3
LMD,4
LMD,3
LMD,5
LMD,5
LMD,2
LMD,5
LMD,4
LMD,2
LMD,3
LMD,3
LMD,5
LMD,3
LMD,4
LMD,4
LMD,4
LMD,4
LMD,5
LMD,3
LMD,1
LMD,3
LMD,2
LMD,4
LMD,3
LMD,4
LMD,2
LMD,5
LMD,4
LMD,5
LMD,4
LMD,5
LMD,3
LMD,4
LMD,4
LMD,3
LMD,5
LMD,4
LMD,4
LMD,4
LMD,3
LMD,3
LMD,3
LMD,5
LMD,3
LMD,4
LMD,5
LMD,3
LMD,3
LMD,2
LMD,5
LMD,3
LMD,4
LMD,3
PERFORMANCE,4
PERFORMANCE,5
PERFORMANCE,2
PERFORMANCE,5
PERFORMANCE,5
PERFORMANCE,5
PERFORMANCE,3
PERFORMANCE,4
PERFORMANCE,4
PERFORMANCE,4
PERFORMANCE,4
PERFORMANCE,5
PERFORMANCE,5
PERFORMANCE,5
PERFORMANCE,4
PERFORMANCE,4
PERFORMANCE,5
PERFORMANCE,4
